name,docstring_length,code_length,examples_length,start_line,file
recfromcsv,21,49,0,2545,numpy\lib\_npyio_impl.py
write_release_task,21,66,0,104,pavement.py
flat,21,26,9,138,numpy\lib\_arrayterator_impl.py
unique_values,21,26,0,539,numpy\lib\_arraysetops_impl.py
assign_fields_by_name,21,30,0,1229,numpy\lib\recfunctions.py
validate,22,69,0,311,numpy\lib\_iotools.py
get_fieldstructure,22,45,8,226,numpy\lib\recfunctions.py
mean,22,54,8,5356,numpy\ma\core.py
flatten_structured_array,22,53,6,2513,numpy\ma\core.py
check_funcs_once,22,59,0,349,numpy\distutils\command\config.py
correlate,22,26,0,8120,numpy\ma\core.py
integ,22,32,0,867,numpy\polynomial\_polybase.py
convolve,22,26,0,8148,numpy\ma\core.py
outer,22,34,0,851,numpy\linalg\_linalg.py
get_data,22,98,0,122,benchmarks\benchmarks\common.py
simple_version_match,22,46,0,562,numpy\distutils\ccompiler.py
bench,22,44,0,396,.spin\cmds.py
libpaths,22,37,0,235,numpy\distutils\system_info.py
array_split,22,53,8,742,numpy\lib\_shape_base_impl.py
fromtextfile,22,78,0,668,numpy\ma\mrecords.py
assert_string_equal,22,68,8,1265,numpy\testing\_private\utils.py
english_lower,22,26,6,16,numpy\_core\_string_helpers.py
compare,22,47,0,304,tools\refguide_check.py
assert_no_gc_cycles,22,32,0,2525,numpy\testing\_private\utils.py
check_items,22,43,0,376,tools\refguide_check.py
rfind,22,28,0,241,numpy\_core\strings.py
printoptions,22,27,15,347,numpy\_core\arrayprint.py
get_printoptions,22,31,0,307,numpy\_core\arrayprint.py
english_upper,22,26,6,44,numpy\_core\_string_helpers.py
get_cblas_libs,23,64,0,2236,numpy\distutils\system_info.py
dtype_is_implied,23,39,9,1466,numpy\_core\arrayprint.py
right_shift,23,29,13,7347,numpy\ma\core.py
masked_equal,23,30,9,2104,numpy\ma\core.py
assert_no_warnings,23,33,0,1982,numpy\testing\_private\utils.py
A,23,28,9,841,numpy\matrixlib\defmatrix.py
tolist,23,50,6,6223,numpy\ma\core.py
str2bool,23,29,5,385,numpy\lib\_iotools.py
hermecompanion,23,44,0,1400,numpy\polynomial\hermite_e.py
chebpts1,23,35,0,1920,numpy\polynomial\chebyshev.py
linspace,23,31,0,937,numpy\polynomial\_polybase.py
masked_invalid,23,34,11,2356,numpy\ma\core.py
identity,23,33,0,1105,numpy\polynomial\_polybase.py
english_capitalize,23,26,8,72,numpy\_core\_string_helpers.py
legcompanion,23,42,0,1416,numpy\polynomial\legendre.py
isin,23,29,7,1461,numpy\ma\extras.py
feature_ahead,23,37,10,1405,numpy\distutils\ccompiler_opt.py
english_upper,23,27,7,234,numpy\_core\code_generators\generate_umath.py
chebcompanion,23,43,0,1674,numpy\polynomial\chebyshev.py
open,23,40,0,486,numpy\lib\_datasource.py
unique_counts,24,36,0,452,numpy\lib\_arraysetops_impl.py
find_names,24,39,0,199,tools\refguide_check.py
shrink_mask,24,30,13,3683,numpy\ma\core.py
index,24,30,4,271,numpy\_core\strings.py
in1d,24,46,7,1410,numpy\ma\extras.py
print_assert_equal,24,32,10,427,numpy\testing\_private\utils.py
record,24,28,0,2339,numpy\testing\_private\utils.py
deprecate_with_doc,24,39,0,261,numpy\lib\_utils_impl.py
fromroots,24,41,0,1062,numpy\polynomial\_polybase.py
mapparms,24,28,0,838,numpy\polynomial\_polybase.py
vector_norm,25,64,0,3286,numpy\linalg\_linalg.py
append_fields,25,68,0,655,numpy\lib\recfunctions.py
get_include,25,38,0,74,numpy\lib\_utils_impl.py
fromarrays,25,41,0,503,numpy\ma\mrecords.py
issubsctype,25,30,8,331,numpy\_core\numerictypes.py
union1d,25,29,9,1104,numpy\lib\_arraysetops_impl.py
setxor1d,25,40,5,676,numpy\lib\_arraysetops_impl.py
open,25,30,0,653,numpy\lib\_datasource.py
unique_inverse,25,37,0,495,numpy\lib\_arraysetops_impl.py
not_equal,25,30,4,94,numpy\_core\defchararray.py
rindex,25,31,4,303,numpy\_core\strings.py
fill_value,25,39,21,3750,numpy\ma\core.py
add_library,25,33,0,1545,numpy\distutils\misc_util.py
greater,25,30,4,194,numpy\_core\defchararray.py
sort,25,40,13,7136,numpy\ma\core.py
zfill,25,39,3,757,numpy\_core\strings.py
svdvals,25,30,0,1821,numpy\linalg\_linalg.py
less_equal,25,30,4,161,numpy\_core\defchararray.py
find_duplicates,25,52,10,1412,numpy\lib\recfunctions.py
H,25,30,11,972,numpy\matrixlib\defmatrix.py
traverse,25,64,0,3565,numpy\f2py\crackfortran.py
legpow,25,29,0,582,numpy\polynomial\legendre.py
less,25,30,4,227,numpy\_core\defchararray.py
iscomplex,25,34,3,173,numpy\lib\_type_check_impl.py
exec_command,26,74,0,177,numpy\distutils\exec_command.py
get_pkg_info,26,37,0,2172,numpy\distutils\misc_util.py
test,26,49,0,208,.spin\cmds.py
T,26,31,8,939,numpy\matrixlib\defmatrix.py
compressed,26,34,14,3893,numpy\ma\core.py
exists,26,55,0,430,numpy\lib\_datasource.py
update,26,47,0,764,numpy\lib\_iotools.py
equal,26,30,9,61,numpy\_core\defchararray.py
greater_equal,26,31,4,127,numpy\_core\defchararray.py
logn,26,33,7,354,numpy\lib\_scimath_impl.py
convert,26,36,0,801,numpy\polynomial\_polybase.py
