0: ['swap_count1', 'diff0', 'expect4', 'Falses4', 'Trues10', 'out_len14', 'prom_len10', 'Trues==prom_len True']: .\log\np\np_conj_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues21', 'out_len26', 'prom_len21', 'Trues==prom_len True']: .\log\np\np_convolve_70B.log
0: ['swap_count1', 'diff0', 'expect4', 'Falses4', 'Trues14', 'out_len18', 'prom_len14', 'Trues==prom_len True']: .\log\np\np_copysign_70B.log
0: ['swap_count1', 'diff0', 'expect9', 'Falses9', 'Trues15', 'out_len24', 'prom_len15', 'Trues==prom_len True']: .\log\np\np_copyto_70B.log
0: ['swap_count1', 'diff0', 'expect12', 'Falses12', 'Trues27', 'out_len39', 'prom_len27', 'Trues==prom_len True']: .\log\np\np_copy_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues63', 'out_len69', 'prom_len63', 'Trues==prom_len True']: .\log\np\np_corrcoef_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues21', 'out_len26', 'prom_len21', 'Trues==prom_len True']: .\log\np\np_correlate_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues12', 'out_len17', 'prom_len12', 'Trues==prom_len True']: .\log\np\np_cosh_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues17', 'out_len23', 'prom_len17', 'Trues==prom_len True']: .\log\np\np_cos_70B.log
0: ['swap_count1', 'diff0', 'expect12', 'Falses12', 'Trues16', 'out_len28', 'prom_len16', 'Trues==prom_len True']: .\log\np\np_count_nonzero_70B.log
0: ['swap_count1', 'diff0', 'expect7', 'Falses7', 'Trues34', 'out_len41', 'prom_len34', 'Trues==prom_len True']: .\log\np\np_cov_70B.log
0: ['swap_count1', 'diff0', 'expect8', 'Falses8', 'Trues59', 'out_len67', 'prom_len59', 'Trues==prom_len True']: .\log\np\np_cross_70B.log
0: ['swap_count1', 'diff0', 'expect9', 'Falses9', 'Trues22', 'out_len31', 'prom_len22', 'Trues==prom_len True']: .\log\np\np_cumprod_70B.log
0: ['swap_count1', 'diff0', 'expect4', 'Falses4', 'Trues26', 'out_len30', 'prom_len26', 'Trues==prom_len True']: .\log\np\np_cumsum_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues38', 'out_len44', 'prom_len38', 'Trues==prom_len True']: .\log\np\np_datetime_as_string_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues14', 'out_len20', 'prom_len14', 'Trues==prom_len True']: .\log\np\np_datetime_data_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues5', 'out_len11', 'prom_len5', 'Trues==prom_len True']: .\log\np\np_deg2rad_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues14', 'out_len19', 'prom_len14', 'Trues==prom_len True']: .\log\np\np_degrees_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues18', 'out_len24', 'prom_len18', 'Trues==prom_len True']: .\log\np\np_delete_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues13', 'out_len19', 'prom_len13', 'Trues==prom_len True']: .\log\np\np_diagflat_70B.log
0: ['swap_count1', 'diff0', 'expect7', 'Falses7', 'Trues20', 'out_len27', 'prom_len20', 'Trues==prom_len True']: .\log\np\np_diag_70B.log
0: ['swap_count1', 'diff0', 'expect18', 'Falses18', 'Trues36', 'out_len54', 'prom_len36', 'Trues==prom_len True']: .\log\np\np_diag_indices_70B.log
0: ['swap_count1', 'diff0', 'expect7', 'Falses7', 'Trues26', 'out_len33', 'prom_len26', 'Trues==prom_len True']: .\log\np\np_diag_indices_from_70B.log
